,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,part_6,part_5,part_4Neo,part_4Nei
195,3.35E+12,495,14,21,6.6,7.5,0.02,0,d,d,c,c,c
196,3.35E+12,513,14,34,2.7,6.5,0.37,0,e,e,d,e,e
197,3.35E+12,538,20,42,7.2,7.3,0.27,10.3,e,e,e,e,d
198,3.35E+12,640,9.3,36,5.2,9,0.05,0,d,d,d,d,c
199,3.35E+12,409,5,17,10,11,0,0,c,c,c,a,c
200,3.35E+12,473,7.5,36,3.4,5.8,0.25,15,d,d,d,e,d
201,3.35E+12,619,9.2,30,6.4,9.3,0.02,0,d,d,d,c,c
202,3.35E+12,403,6.5,9.79,8.26,11.42,0.029,0,c,c,b,a,c
203,3.37E+12,520,19.9,39.4,5.1,6.5,0.12,0,e,e,e,e,d
204,3.37E+12,582,23.5,47.2,2.1,9.4,0.31,0,e,e,e,e,d
205,3.37E+12,578,25,46.5,0,6.1,1.05,0,e,e,e,e,e
206,3.37E+12,348,15,18,0,8,0.31,0,d,d,b,e,d
207,3.37E+12,348,15,18,0,8,0.31,0,d,d,b,e,d
208,3.37E+12,348,15,18,0,8,0.31,0,d,d,b,e,d
209,3.38E+12,407,5.26,10,8.6,10.8,0.098,0,c,c,c,a,d
210,3.38E+12,486,9,24,4.5,6.5,0.3,8.1,d,d,c,d,d
211,3.39E+12,281,3,31,0.4,5.5,0.9,0,d,d,b,e,e
212,3.38E+12,407,5.26,10,8.6,10.8,0.098,0,c,c,c,a,d
213,3.40E+12,580,28,24,11,7,0.0254,0,d,d,c,d,c
214,3.40E+12,380,1,34,3.6,6.7,0.5,0,c,c,b,c,e
215,3.40E+12,380,0.5,36,3,7,0.375,0,c,c,b,c,e
216,3.40E+12,491,15.60000038,25.20000076,4.9,5.699999809,0.029999999,0,d,d,d,d,c
217,3.40E+12,478,14,21.6,6.3,6.8,0.025,0,d,d,c,c,c
218,3.40E+12,391,2.9,7.4,3.8,9.7,0.4,0,a,a,b,a,e
219,3.40E+12,571,26,29,11,8.7,0.02,0,d,d,d,d,c
220,3.40E+12,570,17,42.5,6,6,0.0254,19.874,e,e,e,e,c
221,3.42E+12,388,9.7,14,3.1,7.4,0.8,0,d,d,b,e,e
222,3.42E+12,404,2,21.1,9.3,8.6,0.02,7,b,b,c,a,c
223,3.42E+12,416,6.1,12,9,10,0.16,0,c,c,c,b,d
224,3.42E+12,440,3.4,24,7.2,9.2,0.06,0,c,c,c,a,c
225,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
226,3.42E+12,456,4,22,6.8,8.7,0.05,0,c,c,c,a,c
227,3.42E+12,442,2.4,18,7.6,9,0.01,0,b,b,b,a,c
228,3.42E+12,415,5.2,21.7,7.6,9,0.1,0,c,c,c,b,d
229,3.42E+12,412,4.4,12,12,11,0.02,0,c,c,c,a,c
230,3.42E+12,373,0.8,19,4.9,9.3,0.03,0,a,b,b,a,c
231,3.42E+12,408,4.9,9,5.5,10,0.85,0,c,c,c,c,e
232,3.42E+12,445,5.7,20,8.2,9.2,0.07,0,c,c,c,b,c
233,3.42E+12,427,3,19,8.2,10,0.05,0,c,b,b,a,c
234,3.42E+12,420,4,23,7,8.4,0.05,0,c,c,c,a,c
235,3.42E+12,456,4,22,6.8,8.7,0.05,0,c,c,c,a,c
