,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,Predicted_Nutriscore_ML
252,3421557920257.0,365.0,0.7,23.0,2.7,5.7,0.02,0.0,c,b
253,3421557920264.0,364.0,1.2,20.0,3.9,6.5,0.02,0.0,b,b
254,3421557920332.0,442.0,3.2,18.0,8.0,9.7,0.04,0.0,c,c
255,3421557920509.0,425.0,2.6,18.0,7.6,9.0,0.01,0.0,b,b
256,3421557920813.0,375.0,2.0,17.0,7.9,13.0,0.04,0.0,a,b
257,3421557921339.0,419.0,2.2000000476837,14.0,9.8000001907349,15.0,0.02,0.0,b,b
258,3423720003552.0,389.0,9.3,20.0,5.5,8.2,0.26,0.0,d,d
259,3426721000070.0,366.0,19.1,15.5,3.3,8.8,0.3,0.0,d,d
260,3428420019919.0,217.0,4.0,26.0,0.9,5.8,0.13,0.0,c,c
261,3420000000000.0,456.0,4.0,22.0,6.8,8.7,0.05,4.1,c,c
262,3433871240027.0,208.0,5.97,21.59,2.48,4.38,0.09,0.0,c,c
263,3433871250026.0,208.0,5.97,21.59,2.48,4.38,0.09,0.0,c,c
264,3433877510063.0,206.0,5.93,21.08,2.31,4.42,0.09,0.0,c,c
265,3430000000000.0,208.0,5.97,21.59,2.48,4.38,0.09,0.0,c,c
266,3450970104258.0,357.0,1.1,24.0,6.2,8.6,0.43,0.0,c,c
267,3456300000238.0,477.0,14.0,23.0,5.3,6.8,0.01,0.0,d,d
268,3450000000000.0,357.0,1.1,24.0,6.2,8.6,0.43,0.0,c,c
269,3465511310371.0,423.0,11.8,15.0,11.5,10.0,0.0,0.0,d,d
270,3465511460502.0,487.0,0.0,0.0,8.2,12.11,0.0,16.667,a,a
271,3467390140308.0,140.0,3.7,14.7,0.0,5.6,0.11,0.0,c,c
272,3474340016354.0,559.0,26.0,32.0,0.0,6.8,0.0,0.0,e,d
273,3501940000213.0,624.0,10.0,30.0,5.0,9.3,0.02,0.0,d,d
274,3501940001302.0,617.0,31.0,26.0,12.0,6.4,0.06,0.0,d,d
275,3501940122922.0,588.0,24.0,46.0,2.8,7.5,0.15,0.0,e,e
276,3501940131009.0,564.0,27.0,26.0,14.0,8.0,0.2,0.0,d,d
277,3501940136509.0,606.0,9.9,41.0,2.7,6.8,0.07,0.0,e,e
278,3501940366005.0,616.0,9.3,30.0,6.0,9.5,0.0,0.0,d,d
279,3501940369006.0,616.0,9.3,30.0,6.0,9.5,0.06,0.0,d,d
280,3501940491004.0,559.0,25.0,26.0,0.0,8.4,0.04,0.0,e,e
281,3501940566009.0,590.0,26.0,47.0,2.5,7.0,0.2,0.0,e,e
282,3501940803005.0,492.0,19.0,33.0,5.9,11.0,0.07,0.0,d,d
283,3501940908007.0,476.0,8.4,27.0,8.6,11.0,0.07,0.0,d,d
284,3523230040297.0,121.0,1.6,13.0,2.0,2.1,0.1,0.0,b,b
285,3523230046800.0,160.0,3.8,20.0,1.0,4.1,0.1,0.0,c,c
286,3523230056021.0,123.0,2.0,13.0,2.0,1.1,0.1,4.0,b,b
287,3523230056038.0,124.0,1.6,14.0,2.2,1.3,0.1,0.0,c,b
288,3523230056076.0,154.0,5.8,13.0,1.0,6.2,0.1,0.0,c,c
