code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.256220368315E12,lune de céréales au chocolat,375,"U bio,U",389.0,1.4,32.0,3.5,7.0,0.33,0.0,c,10.0
3.256221136272E12,Galette de riz au chocolat noir,100,"U Bio, U",502.0,14.9,23.9,6.0,6.6,0.01,0.0,d,16.0
3.256222969336E12,Boules enrobées saveur chocolat,375,"U Bio,U",326.0,0.5,24.0,2.5,6.8,0.29,0.0,c,4.0
3.256222988245E12,Galette de riz nappée de chocolat au lait,100,"U Bio, U",492.0,14.3,27.5,2.4,7.0,0.1,0.0,e,20.0
3.256224070184E12,Mini galette de riz nappée de chocolat noir,60,"U Bio, U",492.0,13.8,21.7,6.2,7.4,0.03,0.0,d,15.0
3.256225042418E12,Boules de céréales goût chocolat,375,"U Mat & Lou,U",379.0,1.2,24.0,8.9,9.9,0.43,0.0,c,6.0
3.256225432875E12,Petits pots de crème cuit au four au chocolat issus de l'agriculture biologique,200,"U Bio, U",196.0,6.1,15.0,1.5,5.6,0.12,0.0,c,10.0
3.256226156046E12,Bâtonnets au chocolat au lait,125.0,"U Bio,U",527.0,15.0,34.0,2.8,6.6,0.4,0.0,e,22.0
3.256226387655E12,Mini galette de riz nappée de chocolat au lait,60,"U Bio,U",483.0,13.0,24.0,2.7,7.2,0.1,0.0,e,19.0
3.256226387662E12,Galette de mais nappée de chocolat noir,100,"U Bio,U",479.0,14.0,22.0,7.1,7.4,0.01,0.0,d,14.0
3.256226763848E12,Pétales de blé chocolat,375,"U Bio, U",364.0,1.7,20.0,8.7,9.8,0.42,0.0,b,0.0
3.256227109393E12,Crème dessert au chocolat,380,"U, U Bio",152.0,3.2,20.0,1.0,4.2,0.1,0.0,c,5.0
3.256227454066E12,Fritures chocolat au lait bio,200,U,573.0,23.0,49.0,1.8,6.7,0.21,0.0,e,26.0
3.25622745408E12,Lapin chocolat,200,U Bio,573.0,23.0,49.0,1.7,6.7,0.21,0.0,e,26.0
3.256227742842E12,Truffes 89% chocolat noir pur beurre cacao BIO,180.0,"U Bio,U",587.0,27.0,38.0,6.7,5.0,0.01,0.0,e,20.0
3.256227742873E12,Assortiment de chocolat,180.0,"U, U Bio",556.0,18.0,38.0,4.2,8.0,0.18,13.0,e,20.0
